CODIGO;EMPRESA;ANO;ANO&COD;1.DEC_Apurada;1.1.DEC_Limite;1.2.DEC_V8;2.FEC_Apurada;2.1.FEC_Limite;2.2.FEC_V8;3.0.Fator_Q;4.0.Desc_Perdas_Nao_Tec;5.DGC;6.UC_Total;7.UC_AT;8.UC_MT;9.UC_BT;10.Mercado_Total;11.Mercado_AT;12.Mercado_MT;13.Mercado_BT;14.Peso_AT;15.Peso_MT;16.Peso_BT;17.Ind_Salarial;18.1.Custos_Operacionais;18.1.1.Custos_Operacionais_H;18.1.2.Custos_Operacionais_AJ;18.2.Pessoal;18.2.1.Pessoal_H;18.3.Materiais;18.3.1.Materiais_H;18.4.Serv_Terceiros;18.4.1.Serv_Terceiros_H;18.5.Seguros;18.5.1.Seguros_H;18.6.Tributos;18.6.1.Tributos_H;18.7.Outros;18.7.1.Outros_H;18.8.Estagiario;18.8.1.Estagiario_H;18.9.Comunicacao;18.9.1.Comunicacao_H;19.0.Cond_TOTAIS;19.1.Cond_Trab;19.1.1.Cond_Trab_H;19.2.Cond_Civeis;19.2.1.Cond_Civeis_H;19.3.Cond_Fiscais;19.3.1.Cond_Fiscais_H;19.4.Cond_Ambientais;19.4.1.Cond_Ambientais_H;19.5.Cond_Outras;19.5.1.Cond_Outras_H;20.Contrib_CCEE;20.1.Contrib_CCEE_H;21.Custos_de_Desativacao;21.1.Custos_de_Desativacao_H;27.Demanda_Total;28.Demanda_AT;29.Demanda_MT;30.Demanda_BT;34.PNT_Medidas;35.Meta_PNT;35.2.Meta_PNT_4CRTP;37.Rede;38.0.1.BT_DIST_SEM_RAMAL;38.0.2.BT_DIST_COM_RAMAL;38.0.3.BT_DIST_AER_MUX;38.1.BT_AEREA_DIST;38.2.BT_MUX_DIST;38.3.BT_SUBTERR_DIST;38.4.BT_RAMAL_RAMAL_DIST;39.0.1.MT_DIST;39.0.2.MT_DIST_AER_MUX;39.1.MT_AEREA_DIST;39.2.MT_MUX_DIST;39.3.MT_SUBTERR_DIST;40.0.1.AT_DIST;40.0.2.AT_DIST_AER_MUX;40.1.AT_AEREA_DIST;40.2.AT_MUX_DIST;40.3.AT_SUBTERR_DIST;43.Trafos_Distribuicao;45.Trafos_AT;45.1.Trafos_69;45.2.Trafos_88_138;45.3.Trafos_230;46.Subestacoes_MT;47.Subestacoes_AT;47.1.Subestacoes_69;47.2.Subestacoes_88_138;47.3.Subestacoes_230;48.MVA_Total;49.MVA_MT;50.MVA_AT;50.1.MVA_69;50.2.MVA_88_138;50.3.MVA_230;61.Compensacoes_Q;62.Compensacoes_Reais
D08;CEAL;2000;2000D08;35.09;48.17;ND;25.5;56.95;ND;ND;ND;0.588111446;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D09;CEB;2000;2000D09;15.4;20.23;ND;14.36;26.38;ND;ND;ND;0.652798728;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D10;CEEE;2000;2000D10;22.71;31.37;ND;19.69;34.42;ND;ND;ND;0.647995602;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D11;CELESC;2000;2000D11;21.95;35.83;ND;17.9;22.56;ND;ND;ND;0.703027422;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D12;CELG;2000;2000D12;15.71;39.73;ND;17.19;47.02;ND;ND;ND;0.380504095;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D13;CELPA;2000;2000D13;27.99;41.96;ND;29.87;52.45;ND;ND;ND;0.618279314;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D14;CELPE;2000;2000D14;16.34;35.1;ND;15.34;42.76;ND;ND;ND;0.412136779;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D15;CELTINS;2000;2000D15;42.91;69.17;ND;40.31;73.61;ND;ND;ND;0.583985729;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D16;CEMAR;2000;2000D16;38.67;34.02;ND;29.03;47.43;ND;ND;ND;0.874372091;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D17;EMT;2000;2000D17;29.22;44.53;ND;39.8;56.09;ND;ND;ND;0.68288037;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
